Date/Time,MAIN ZONE:RUN PERIOD 1:FLOOR ILLUMINANCE MAP at 0.30m Illuminance [lux] (Hourly), RefPt1=(-1.56:0.80:0.30),,
 01/04 15:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,8414,8414,8414,8414,8414
(-30.36;-12.06)=,8414,66415,66438,66759,8414
(-30.36;0.56)=,8414,66353,66173,66473,8414
(-30.36;13.18)=,8414,66383,66168,66681,8414
(-30.36;25.80)=,8414,8414,8414,8414,54598
 01/04 16:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,7160,7160,7160,7160,7160
(-30.36;-12.06)=,7160,54929,54961,55201,7160
(-30.36;0.56)=,7160,54902,54656,54966,7160
(-30.36;13.18)=,7160,54998,54779,55092,7160
(-30.36;25.80)=,7160,7160,7160,7160,48778
 01/04 17:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,5203,5203,5203,5203,5203
(-30.36;-12.06)=,5203,38878,38885,39028,5203
(-30.36;0.56)=,5203,38852,38643,38869,5203
(-30.36;13.18)=,5203,38956,38765,38956,5203
(-30.36;25.80)=,5203,5203,5203,5203,34794
 01/04 18:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,2790,2790,2790,2790,2790
(-30.36;-12.06)=,2790,20481,20340,20430,2790
(-30.36;0.56)=,2790,20468,20198,20353,2790
(-30.36;13.18)=,2790,20515,20275,20381,2790
(-30.36;25.80)=,2790,2790,2790,2790,18256
 01/04 19:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,691,691,691,691,691
(-30.36;-12.06)=,691,5217,5221,5255,691
(-30.36;0.56)=,691,5220,5194,5243,691
(-30.36;13.18)=,691,5248,5226,5261,691
(-30.36;25.80)=,691,691,691,691,4767
