Date/Time,MAIN ZONE:RUN PERIOD 1:FLOOR ILLUMINANCE MAP at 0.30m Illuminance [lux] (Hourly), RefPt1=(0.70:3.24:0.30),,
 01/01 10:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-10.45)=,169,1411,1436,1429,169
(-26.30;2.40)=,169,1410,1450,1421,169
(-26.30;15.25)=,169,915,1254,1347,169
(-26.30;28.11)=,169,169,169,169,169
 01/10 12:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,4711,2041,275,275,275
(-26.30;-10.45)=,275,2289,2329,2314,275
(-26.30;2.40)=,275,2289,2354,2308,275
(-26.30;15.25)=,275,1498,2042,2187,275
(-26.30;28.11)=,275,275,275,275,275
 01/10 13:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,5241,2264,305,305,305
(-26.30;-10.45)=,305,2539,2585,2567,305
