Date/Time,MAIN ZONE:RUN PERIOD 1:FLOOR ILLUMINANCE MAP at 0.30m Illuminance [lux] (Hourly), RefPt1=(-1.68:0.89:0.30),,
 01/04 08:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,242,242,242,242,242
(-30.31;-12.08)=,242,1848,1863,1884,242
(-30.31;0.60)=,242,1851,1857,1882,242
(-30.31;13.28)=,242,1865,1870,1890,242
(-30.31;25.96)=,242,242,242,242,1713
 01/04 09:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,1688,1688,1688,1688,1688
(-30.31;-12.08)=,1688,12671,12798,13043,1688
(-30.31;0.60)=,1688,12660,12755,13032,1688
(-30.31;13.28)=,1688,12785,12832,13072,1688
(-30.31;25.96)=,1688,1688,1688,1688,11819
 01/04 10:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,4181,4181,4181,4181,4181
(-30.31;-12.08)=,4181,31125,31481,32351,4181
(-30.31;0.60)=,4181,31069,31382,32289,4181
(-30.31;13.28)=,4181,31377,31501,32216,4181
(-30.31;25.96)=,4181,4181,4181,4181,28986
 01/04 11:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,6917,6917,6917,6917,6917
(-30.31;-12.08)=,6917,52863,53392,54247,6917
(-30.31;0.60)=,6917,52863,53223,54114,6917
(-30.31;13.28)=,6917,53160,53391,54045,6917
(-30.31;25.96)=,6917,6917,6917,6917,47644
 01/04 12:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,8178,8178,8178,8178,8178
(-30.31;-12.08)=,8178,64377,64796,65357,8178
(-30.31;0.60)=,8178,64274,64553,65181,8178
(-30.31;13.28)=,8178,64586,64772,65350,8178
(-30.31;25.96)=,8178,8178,8178,8178,56109
 01/04 13:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,8899,8899,8899,8899,8899
(-30.31;-12.08)=,8899,71545,71798,72186,8899
(-30.31;0.60)=,8899,71398,71495,71961,8899
(-30.31;13.28)=,8899,71637,71529,72238,8899
(-30.31;25.96)=,8899,8899,8899,8899,59937
 01/04 14:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,8891,8891,8891,8891,8891
(-30.31;-12.08)=,8891,71761,71805,72135,8891
(-30.31;0.60)=,8891,71629,71582,71908,8891
(-30.31;13.28)=,8891,71726,71497,72175,8891
(-30.31;25.96)=,8891,8891,8891,8891,57258
 01/04 15:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,8444,8444,8444,8444,8444
(-30.31;-12.08)=,8444,66458,66399,66734,8444
(-30.31;0.60)=,8444,66370,66177,66499,8444
(-30.31;13.28)=,8444,66426,66198,66701,8444
(-30.31;25.96)=,8444,8444,8444,8444,55966
 01/04 16:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,7195,7195,7195,7195,7195
(-30.31;-12.08)=,7195,54973,54923,55176,7195
(-30.31;0.60)=,7195,54935,54666,54991,7195
(-30.31;13.28)=,7195,55057,54813,55116,7195
(-30.31;25.96)=,7195,7195,7195,7195,48373
 01/04 17:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,5233,5233,5233,5233,5233
(-30.31;-12.08)=,5233,38910,38862,39010,5233
(-30.31;0.60)=,5233,38883,38649,38887,5233
(-30.31;13.28)=,5233,39008,38795,38974,5233
(-30.31;25.96)=,5233,5233,5233,5233,34506
 01/04 18:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,2807,2807,2807,2807,2807
(-30.31;-12.08)=,2807,20500,20328,20421,2807
(-30.31;0.60)=,2807,20486,20200,20363,2807
(-30.31;13.28)=,2807,20541,20289,20390,2807
(-30.31;25.96)=,2807,2807,2807,2807,18077
 01/04 19:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,694,694,694,694,694
(-30.31;-12.08)=,694,5221,5217,5254,694
(-30.31;0.60)=,694,5225,5195,5245,694
(-30.31;13.28)=,694,5254,5229,5264,694
(-30.31;25.96)=,694,694,694,694,4691
 01/04 20:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,0,0,0,0,0
(-30.31;-12.08)=,0,0,0,0,0
(-30.31;0.60)=,0,0,0,0,0
(-30.31;13.28)=,0,0,0,0,0
(-30.31;25.96)=,0,0,0,0,0
Date/Time,MAIN ZONE:RUN PERIOD 1:FLOOR ILLUMINANCE MAP at 0.30m Illuminance [lux] (Hourly), RefPt1=(-1.68:0.89:0.30),,
 01/05 08:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,416,416,416,416,416
(-30.31;-12.08)=,416,3090,3142,3183,416
(-30.31;0.60)=,416,3113,3132,3180,416
(-30.31;13.28)=,416,3138,3151,3191,416
(-30.31;25.96)=,416,416,416,416,2908
 01/05 09:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,2438,2438,2438,2438,2438
(-30.31;-12.08)=,2438,17702,18007,18556,2438
(-30.31;0.60)=,2438,17721,17947,18539,2438
(-30.31;13.28)=,2438,17959,18034,18577,2438
(-30.31;25.96)=,2438,2438,2438,2438,16919
 01/05 10:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,4798,4798,4798,4798,4798
(-30.31;-12.08)=,4798,35502,35920,37055,4798
(-30.31;0.60)=,4798,35402,35808,36983,4798
(-30.31;13.28)=,4798,35791,35931,36879,4798
(-30.31;25.96)=,4798,4798,4798,4798,33221
 01/05 11:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,6793,6793,6793,6793,6793
(-30.31;-12.08)=,6793,51948,52464,53282,6793
(-30.31;0.60)=,6793,51934,52288,53151,6793
(-30.31;13.28)=,6793,52239,52467,53122,6793
(-30.31;25.96)=,6793,6793,6793,6793,46831
 01/05 12:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,8145,8145,8145,8145,8145
(-30.31;-12.08)=,8145,64133,64550,65109,8145
(-30.31;0.60)=,8145,64031,64308,64933,8145
(-30.31;13.28)=,8145,64341,64526,65102,8145
(-30.31;25.96)=,8145,8145,8145,8145,55903
 01/05 13:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,8889,8889,8889,8889,8889
(-30.31;-12.08)=,8889,71490,71742,72129,8889
(-30.31;0.60)=,8889,71344,71440,71905,8889
(-30.31;13.28)=,8889,71582,71474,72180,8889
(-30.31;25.96)=,8889,8889,8889,8889,59881
 01/05 14:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,8661,8661,8661,8661,8661
(-30.31;-12.08)=,8661,69954,69998,70318,8661
(-30.31;0.60)=,8661,69826,69782,70098,8661
(-30.31;13.28)=,8661,69921,69699,70356,8661
(-30.31;25.96)=,8661,8661,8661,8661,55755
 01/05 15:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,6999,6999,6999,6999,6999
(-30.31;-12.08)=,6999,55087,55061,55354,6999
(-30.31;0.60)=,6999,55027,54881,55170,6999
(-30.31;13.28)=,6999,55095,54923,55346,6999
(-30.31;25.96)=,6999,6999,6999,6999,46520
 01/05 16:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,4503,4503,4503,4503,4503
(-30.31;-12.08)=,4503,34525,34545,34754,4503
(-30.31;0.60)=,4503,34530,34395,34660,4503
(-30.31;13.28)=,4503,34651,34541,34769,4503
(-30.31;25.96)=,4503,4503,4503,4503,30565
 01/05 17:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,2303,2303,2303,2303,2303
(-30.31;-12.08)=,2303,17514,17538,17657,2303
(-30.31;0.60)=,2303,17528,17461,17621,2303
(-30.31;13.28)=,2303,17619,17568,17684,2303
(-30.31;25.96)=,2303,2303,2303,2303,15693
 01/05 18:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,1669,1669,1669,1669,1669
(-30.31;-12.08)=,1669,12585,12592,12679,1669
(-30.31;0.60)=,1669,12592,12537,12652,1669
(-30.31;13.28)=,1669,12663,12618,12699,1669
(-30.31;25.96)=,1669,1669,1669,1669,11277
 01/05 19:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,561,561,561,561,561
(-30.31;-12.08)=,561,4257,4264,4296,561
(-30.31;0.60)=,561,4262,4248,4289,561
(-30.31;13.28)=,561,4288,4278,4307,561
(-30.31;25.96)=,561,561,561,561,3847
 01/05 20:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,0,0,0,0,0
(-30.31;-12.08)=,0,0,0,0,0
(-30.31;0.60)=,0,0,0,0,0
(-30.31;13.28)=,0,0,0,0,0
(-30.31;25.96)=,0,0,0,0,0
